label_cluster_id,label_type,street_edge_id,osm_way_id,region_id,region_name,avg_image_capture_date,avg_label_date,median_severity,agree_count,disagree_count,unsure_count,cluster_size,users,avg_latitude,avg_longitude
21377,CurbRamp,103,35037906,7,UV 42,2025-05-01T00:00Z,2025-10-08T01:37:03.382Z,2,0,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.168987,-70.7419
21378,CurbRamp,103,35037906,7,UV 42,2012-10-01T00:00Z,2025-10-08T01:19:38.401Z,1,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.170006,-70.74208
21379,CurbRamp,8522,474024847,7,UV 42,2025-03-31T12:00Z,2025-10-10T01:26:25.801Z,2,2,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.167662,-70.74305
21380,CurbRamp,13002,1192522101,7,UV 42,2025-03-01T00:00Z,2025-10-13T01:51:42.778Z,3,2,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.16876,-70.74317
21381,CurbRamp,8521,474024847,7,UV 42,2025-05-01T00:00Z,2025-10-08T01:07:27.192Z,3,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.16869,-70.74323
21382,CurbRamp,9651,563718720,7,UV 42,2025-03-01T00:00Z,2025-10-12T01:55:29.416Z,2,0,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.167843,-70.74169
21383,CurbRamp,98,35037906,7,UV 42,2025-03-31T12:00Z,2025-10-19T09:55:18.500500Z,1,1,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.165593,-70.741185
21384,CurbRamp,12395,1024371355,7,UV 42,2025-03-01T00:00Z,2025-10-31T20:57:18.313Z,1,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.165787,-70.73989
21385,CurbRamp,13361,1418633546,7,UV 42,2025-03-01T00:00Z,2025-10-31T20:56:07Z,1,0,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.165733,-70.739944
21386,CurbRamp,13361,1418633546,7,UV 42,2025-03-01T00:00Z,2025-10-31T20:56:34.157Z,1,0,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.16563,-70.73993
